manner_of_death,manner_of_deathLabel
http://www.wikidata.org/entity/Q407,Linda Lovelace
http://www.wikidata.org/entity/Q504,Émile Zola
http://www.wikidata.org/entity/Q720,Genghis Khan
http://www.wikidata.org/entity/Q926,Roald Amundsen
http://www.wikidata.org/entity/Q1056,Italo Balbo
http://www.wikidata.org/entity/Q1192,Jean-Baptiste Lully
http://www.wikidata.org/entity/Q1257,Boutros Boutros-Ghali
http://www.wikidata.org/entity/Q1267,Dag Hammarskjöld
http://www.wikidata.org/entity/Q1276,Leonard Cohen
http://www.wikidata.org/entity/Q1802,Daniel Balavoine
http://www.wikidata.org/entity/Q2040,Giuseppe Farina
http://www.wikidata.org/entity/Q2104,Mike Hawthorn
http://www.wikidata.org/entity/Q2153,Subhas Chandra Bose
http://www.wikidata.org/entity/Q2190,Coluche
http://www.wikidata.org/entity/Q2274,Chet Baker
http://www.wikidata.org/entity/Q2757,Lech Kaczyński
http://www.wikidata.org/entity/Q2998,Amy Johnson
http://www.wikidata.org/entity/Q3128,Graham Hill
http://www.wikidata.org/entity/Q3234,Jochen Rindt
http://www.wikidata.org/entity/Q3355,Amelia Earhart
