manner_of_death,manner_of_deathLabel
http://www.wikidata.org/entity/Q91,Abraham Lincoln
http://www.wikidata.org/entity/Q1001,Mahatma Gandhi
http://www.wikidata.org/entity/Q1048,Julius Caesar
http://www.wikidata.org/entity/Q1149,Indira Gandhi
http://www.wikidata.org/entity/Q1203,John Lennon
http://www.wikidata.org/entity/Q1409,Caligula
http://www.wikidata.org/entity/Q1411,Claudius
http://www.wikidata.org/entity/Q1414,Servius Sulpicius Galba Caesar
http://www.wikidata.org/entity/Q1417,Vitellius
http://www.wikidata.org/entity/Q1423,Domitian
http://www.wikidata.org/entity/Q1434,Commodus
http://www.wikidata.org/entity/Q1436,Pertinax
http://www.wikidata.org/entity/Q1440,Didius Julianus
http://www.wikidata.org/entity/Q1446,Caracalla
http://www.wikidata.org/entity/Q1496,Ferdinand Magellan
http://www.wikidata.org/entity/Q1541,Cicero
http://www.wikidata.org/entity/Q1752,Macrinus
http://www.wikidata.org/entity/Q1762,Elagabalus
http://www.wikidata.org/entity/Q1769,Alexander Severus
http://www.wikidata.org/entity/Q1777,Maximinus Thrax
