manner_of_death,manner_of_deathLabel
http://www.wikidata.org/entity/Q23,George Washington
http://www.wikidata.org/entity/Q42,Douglas Adams
http://www.wikidata.org/entity/Q260,Jean-François Champollion
http://www.wikidata.org/entity/Q296,Claude Monet
http://www.wikidata.org/entity/Q346,Louis IX of France
http://www.wikidata.org/entity/Q368,Augusto Pinochet
http://www.wikidata.org/entity/Q409,Bob Marley
http://www.wikidata.org/entity/Q410,Carl Sagan
http://www.wikidata.org/entity/Q449,Georges Brassens
http://www.wikidata.org/entity/Q475,Eduardo Frei Montalva
http://www.wikidata.org/entity/Q493,Arthur Rimbaud
http://www.wikidata.org/entity/Q501,Charles Baudelaire
http://www.wikidata.org/entity/Q502,Stendhal
http://www.wikidata.org/entity/Q512,Vladimir Vysotsky
http://www.wikidata.org/entity/Q517,Napoleon
http://www.wikidata.org/entity/Q529,Louis Pasteur
http://www.wikidata.org/entity/Q619,Nicolaus Copernicus
http://www.wikidata.org/entity/Q687,Molière
http://www.wikidata.org/entity/Q755,Paul Verlaine
http://www.wikidata.org/entity/Q835,Mikhail Bulgakov
http://www.wikidata.org/entity/Q838,Andrei Rublev
http://www.wikidata.org/entity/Q845,Pedro Aguirre Cerda
http://www.wikidata.org/entity/Q848,Arturo Alessandri
http://www.wikidata.org/entity/Q853,Andrei Tarkovsky
http://www.wikidata.org/entity/Q855,Joseph Stalin
http://www.wikidata.org/entity/Q862,Joseph Brodsky
http://www.wikidata.org/entity/Q885,Józef Piłsudski
http://www.wikidata.org/entity/Q905,Franz Kafka
http://www.wikidata.org/entity/Q909,Jorge Luis Borges
http://www.wikidata.org/entity/Q927,Harry Mulisch
http://www.wikidata.org/entity/Q939,Pedro I
http://www.wikidata.org/entity/Q989,John Paul II
http://www.wikidata.org/entity/Q1031,France Prešeren
http://www.wikidata.org/entity/Q1035,Charles Darwin
http://www.wikidata.org/entity/Q1047,Jawaharlal Nehru
http://www.wikidata.org/entity/Q1064,Alessandro Manzoni
http://www.wikidata.org/entity/Q1224,Carlo Azeglio Ciampi
http://www.wikidata.org/entity/Q1260,Kurt Waldheim
http://www.wikidata.org/entity/Q1264,U Thant
http://www.wikidata.org/entity/Q1268,Frédéric Chopin
http://www.wikidata.org/entity/Q1298,Pedro Montt
http://www.wikidata.org/entity/Q1318,Aníbal Zañartu
http://www.wikidata.org/entity/Q1339,Johann Sebastian Bach
http://www.wikidata.org/entity/Q1381,Dave Arneson
http://www.wikidata.org/entity/Q1405,Augustus
http://www.wikidata.org/entity/Q1407,Tiberius
http://www.wikidata.org/entity/Q1419,Vespasian
http://www.wikidata.org/entity/Q1421,Titus
http://www.wikidata.org/entity/Q1424,Nerva
http://www.wikidata.org/entity/Q1425,Trajan
http://www.wikidata.org/entity/Q1427,Hadrian
http://www.wikidata.org/entity/Q1429,Antoninus Pius
http://www.wikidata.org/entity/Q1430,Marcus Aurelius Antoninus
http://www.wikidata.org/entity/Q1433,Lucius Verus
http://www.wikidata.org/entity/Q1442,Septimius Severus
http://www.wikidata.org/entity/Q1463,Ferdinand Marcos
http://www.wikidata.org/entity/Q1480,Corazon Aquino
http://www.wikidata.org/entity/Q1503,Manuel L. Quezon
http://www.wikidata.org/entity/Q1511,Richard Wagner
http://www.wikidata.org/entity/Q1615,Neil Armstrong
http://www.wikidata.org/entity/Q1618,Charles Lindbergh
http://www.wikidata.org/entity/Q1631,Édith Piaf
http://www.wikidata.org/entity/Q1638,Primo Nebiolo
http://www.wikidata.org/entity/Q1646,Françoise Sagan
http://www.wikidata.org/entity/Q1666,Jacques Brel
http://www.wikidata.org/entity/Q1698,Serge Gainsbourg
http://www.wikidata.org/entity/Q1768,Ella Fitzgerald
http://www.wikidata.org/entity/Q1775,Brownie Mary
http://www.wikidata.org/entity/Q1779,Louis Armstrong
http://www.wikidata.org/entity/Q2001,Stanley Kubrick
http://www.wikidata.org/entity/Q2038,François Mitterrand
http://www.wikidata.org/entity/Q2042,Charles de Gaulle
http://www.wikidata.org/entity/Q2185,Georges Pompidou
http://www.wikidata.org/entity/Q2196,Pierre Desproges
http://www.wikidata.org/entity/Q2496,Ludwig Erhard
http://www.wikidata.org/entity/Q2514,Willy Brandt
http://www.wikidata.org/entity/Q2516,Helmut Schmidt
http://www.wikidata.org/entity/Q2571,Walter Scheel
http://www.wikidata.org/entity/Q2604,Pius XII
http://www.wikidata.org/entity/Q2607,Erich Honecker
http://www.wikidata.org/entity/Q2643,George Harrison
http://www.wikidata.org/entity/Q2646,Friedrich Ebert
http://www.wikidata.org/entity/Q2667,Paul von Hindenburg
http://www.wikidata.org/entity/Q2737,Louis de Funès
http://www.wikidata.org/entity/Q2750,Bourvil
http://www.wikidata.org/entity/Q2754,Jaroslav Hašek
http://www.wikidata.org/entity/Q2791,Geronimo
http://www.wikidata.org/entity/Q3112,Phil Hill
http://www.wikidata.org/entity/Q3166,Denny Hulme
http://www.wikidata.org/entity/Q3335,George Orwell
http://www.wikidata.org/entity/Q4030,Duke Ellington
http://www.wikidata.org/entity/Q4064,Ramesses V
http://www.wikidata.org/entity/Q4137,Elsa Triolet
http://www.wikidata.org/entity/Q4145,Patrice O'Neal
http://www.wikidata.org/entity/Q4227,James Coburn
http://www.wikidata.org/entity/Q4441,Emily Dickinson
http://www.wikidata.org/entity/Q4443,Pius VIII
http://www.wikidata.org/entity/Q4448,Benedict XV
http://www.wikidata.org/entity/Q4583,Anne Frank
http://www.wikidata.org/entity/Q4604,Confucius
