manner_of_death,manner_of_deathLabel
http://www.wikidata.org/entity/Q352,Adolf Hitler
http://www.wikidata.org/entity/Q440,Salvador Allende
http://www.wikidata.org/entity/Q635,Cleopatra
http://www.wikidata.org/entity/Q1322,José Manuel Balmaceda
http://www.wikidata.org/entity/Q1413,Nero
http://www.wikidata.org/entity/Q1416,Otho
http://www.wikidata.org/entity/Q1782,Gordian I
http://www.wikidata.org/entity/Q2022,Cesare Pavese
http://www.wikidata.org/entity/Q4616,Marilyn Monroe
http://www.wikidata.org/entity/Q4673,Paul Otto
http://www.wikidata.org/entity/Q5081,Emperor Aizong of Jin
http://www.wikidata.org/entity/Q5582,Vincent van Gogh
http://www.wikidata.org/entity/Q7196,Qin Er Shi
http://www.wikidata.org/entity/Q7251,Alan Mathison Turing
http://www.wikidata.org/entity/Q7301,Prince of Hongnong
http://www.wikidata.org/entity/Q7360,Sima Lun
http://www.wikidata.org/entity/Q7490,Clara Immerwahr
http://www.wikidata.org/entity/Q7500,Emperor Gong of Song
http://www.wikidata.org/entity/Q7503,Emperor Bing of Song
http://www.wikidata.org/entity/Q8446,Kurt Cobain
